#1:t	2:m	3:Del
0	1	58.4554
0.05	1	31.4441
0.1	1	11.7441
0.15	1	1.28998
0.2	1	1.47158
0.25	1	12.2493
0.3	1	9.18499
0.35	1	0.989677
0.4	1	14.7776
0.45	1	29.8836
0.5	1	56.0213
0.55	1	95.768
0.6	1	152.138
0.65	1	184.263
0.7	1	135.534
0.75	1	87.7591
0.8	1	46.2407
0.85	1	15.7268
0.9	1	0.751031
0.95	1	6.75799
1	1	25.8604
1.05	1	25.9298
1.1	1	22.2832
1.15	1	14.2199
1.2	1	5.07385
1.25	1	0.0630276
1.3	1	5.13314
1.35	1	26.8947
1.4	1	72.6931
1.45	1	150.797
1.5	1	270.676
1.55	1	442.925
1.6	1	679.727
1.65	1	448.805
1.7	1	226.106
1.75	1	72.6271
1.8	1	5.51434
1.85	1	43.8747
1.9	1	211.977
1.95	1	534.812
2	1	1039.98
2.05	1	1757.84
2.1	1	2721.72
2.15	1	3968.03
2.2	1	5536.49
2.25	1	5258.27
2.3	1	4725.26
2.35	1	4157.82
2.4	1	3558.34
2.45	1	2950.83
2.5	1	2350.76
2.55	1	1776.07
2.6	1	1247.29
2.65	1	783.448
2.7	1	391.958
2.75	1	120.914
2.8	1	2.69886
2.85	1	73.2159
2.9	1	372.088
2.95	1	942.862
3	1	1833.22
3.05	1	3090.2
3.1	1	4736.53
3.15	1	6866.02
3.2	1	9544.52
3.25	1	12843.1
3.3	1	10745.6
3.35	1	8589.27
3.4	1	6573.37
3.45	1	4750.17
3.5	1	3161.33
3.55	1	1760.81
3.6	1	723.159
3.65	1	121.113
3.7	1	33.4224
3.75	1	545.132
3.8	1	1747.85
3.85	1	3740.01
3.9	1	6523.82
3.95	1	10209.9

