#1:kx	2:ky	3:curvature1/2pi	4:curvature2/2pi	5:...
0	0	3.56645	0.0118753	-3.58506
0	0.0634665	3.56492	-0.0709103	-3.50034
0	0.126933	3.56128	-0.191374	-3.37573
0	0.1904	3.55496	-0.343425	-3.21678
0	0.253866	3.54532	-0.519779	-3.03016
0	0.317333	3.53173	-0.712614	-2.82307
0	0.380799	3.51357	-0.914189	-2.60266
0	0.444266	3.49035	-1.11734	-2.37562
0	0.507732	3.46166	-1.31583	-2.14779
0	0.571199	3.42725	-1.50453	-1.92406
0	0.634665	3.38698	-1.67948	-1.70826
0	0.698132	3.34085	-1.83785	-1.50323
0	0.761598	3.28894	-1.97778	-1.31092
0	0.825065	3.23145	-2.09829	-1.13249
0	0.888531	3.16862	-2.19907	-0.968525
0	0.951998	3.10078	-2.28035	-0.819093
0	1.01546	3.02826	-2.34276	-0.683916
0	1.07893	2.95144	-2.3872	-0.562459
0	1.1424	2.87073	-2.41478	-0.454016
0	1.20586	2.7865	-2.4267	-0.357776
0	1.26933	2.69917	-2.42422	-0.272875
0	1.3328	2.60913	-2.40861	-0.198435
0	1.39626	2.51676	-2.3811	-0.133592
0	1.45973	2.42242	-2.34289	-0.0775131
0	1.5232	2.32646	-2.29511	-0.0294133
0	1.58666	2.22918	-2.23878	0.0114366
0	1.65013	2.13086	-2.17485	0.0457038
0	1.7136	2.03174	-2.10414	0.0739879
0	1.77706	1.93199	-2.02736	0.0968178
0	1.84053	1.83171	-1.94505	0.114647
0	1.904	1.73091	-1.85761	0.127851
0	1.96746	1.62949	-1.7652	0.136717
0	2.03093	1.52718	-1.66776	0.141439
0	2.0944	1.4235	-1.56487	0.1421
0	2.15786	1.31765	-1.45571	0.138658
0	2.22133	1.20846	-1.33889	0.13092
0	2.28479	1.09415	-1.21227	0.118505
0	2.34826	0.97216	-1.07266	0.1008
0	2.41173	0.838786	-0.915461	0.0769004
0	2.47519	0.688733	-0.734093	0.0455393
0	2.53866	0.514524	-0.519368	0.00501164
0	2.60213	0.305819	-0.258738	-0.0468731
0	2.66559	0.0488982	0.0641706	-0.112738
0	2.72906	-0.272959	0.468864	-0.195318
0	2.79253	-0.676467	0.974071	-0.296551
0	2.85599	-1.16951	1.58693	-0.415601
0	2.91946	-1.73305	2.28153	-0.545519
0	2.98293	-2.29691	2.97086	-0.669574
0	3.04639	-2.73167	3.49862	-0.761271
0	3.10986	-2.89373	3.69344	-0.79342
0	3.17333	-2.71784	3.47791	-0.754135
0	3.23679	-2.26931	2.92959	-0.65542
0	3.30026	-1.6918	2.21997	-0.524563
0	3.36373	-1.11479	1.50549	-0.38813
0	3.42719	-0.608515	0.873299	-0.262915
0	3.49066	-0.192077	0.349466	-0.155928
0	3.55413	0.142349	-0.0730085	-0.0680744
0	3.61759	0.411413	-0.412711	0.00251011
0	3.68106	0.631775	-0.689005	0.0584808
0	3.74452	0.817097	-0.918121	0.102378
0	3.80799	0.977659	-1.11247	0.136305
0	3.87146	1.12088	-1.28109	0.16188
0	3.93492	1.252	-1.43042	0.180279
0	3.99839	1.37468	-1.56492	0.192316
