#1:kx	2:ky	3:erg1	4:erg2	5:...
0	0	-5.81952	4.85348	9.96605
0	6.28319	-5.81952	4.85348	9.96605

0.128228	0	-5.7398	4.51069	10.2291
0.128228	6.28319	-5.7398	4.51069	10.2291

0.256457	0	-5.54108	3.92633	10.6147
0.256457	6.28319	-5.54108	3.92633	10.6147

0.384685	0	-5.22648	3.18787	11.0386
0.384685	6.28319	-5.22648	3.18787	11.0386

0.512913	0	-4.80207	2.36121	11.4409
0.512913	6.28319	-4.80207	2.36121	11.4409

0.641141	0	-4.27776	1.49409	11.7837
0.641141	6.28319	-4.27776	1.49409	11.7837

0.76937	0	-3.67032	0.627037	12.0433
0.76937	6.28319	-3.67032	0.627037	12.0433

0.897598	0	-3.01703	-0.187691	12.2047
0.897598	6.28319	-3.01703	-0.187691	12.2047

1.02583	0	-2.45841	-0.800418	12.2588
1.02583	6.28319	-2.45841	-0.800418	12.2588

1.15405	0	-2.48193	-0.718784	12.2007
1.15405	6.28319	-2.48193	-0.718784	12.2007

1.28228	0	-3.02195	-0.00706441	12.029
1.28228	6.28319	-3.02195	-0.00706441	12.029

1.41051	0	-3.62608	0.880749	11.7453
1.41051	6.28319	-3.62608	0.880749	11.7453

1.53874	0	-4.17904	1.825	11.354
1.53874	6.28319	-4.17904	1.825	11.354

1.66697	0	-4.64873	2.78665	10.8621
1.66697	6.28319	-4.64873	2.78665	10.8621

1.7952	0	-5.02098	3.7419	10.2791
1.7952	6.28319	-5.02098	3.7419	10.2791

1.92342	0	-5.2884	4.67084	9.61756
1.92342	6.28319	-5.2884	4.67084	9.61756

2.05165	0	-5.44793	5.55334	8.89459
2.05165	6.28319	-5.44793	5.55334	8.89459

2.17988	0	-5.50024	6.35864	8.1416
2.17988	6.28319	-5.50024	6.35864	8.1416

2.30811	0	-5.44989	6.88144	7.56845
2.30811	6.28319	-5.44989	6.88144	7.56845

2.43634	0	-5.30592	6.34878	7.95714
2.43634	6.28319	-5.30592	6.34878	7.95714

2.56457	0	-5.08287	5.57005	8.51281
2.56457	6.28319	-5.08287	5.57005	8.51281

2.69279	0	-4.80246	4.81325	8.9892
2.69279	6.28319	-4.80246	4.81325	8.9892

2.82102	0	-4.49575	4.13468	9.36107
2.82102	6.28319	-4.49575	4.13468	9.36107

2.94925	0	-4.20477	3.58572	9.61905
2.94925	6.28319	-4.20477	3.58572	9.61905

3.07748	0	-3.98013	3.22167	9.75846
3.07748	6.28319	-3.98013	3.22167	9.75846

3.20571	0	-3.86814	3.09047	9.77767
3.20571	6.28319	-3.86814	3.09047	9.77767

3.33394	0	-3.88839	3.21034	9.67805
3.33394	6.28319	-3.88839	3.21034	9.67805

3.46216	0	-4.02066	3.55627	9.46439
3.46216	6.28319	-4.02066	3.55627	9.46439

3.59039	0	-4.21758	4.07121	9.14637
3.59039	6.28319	-4.21758	4.07121	9.14637

3.71862	0	-4.42776	4.68498	8.74278
3.71862	6.28319	-4.42776	4.68498	8.74278

3.84685	0	-4.60926	5.31275	8.29651
3.84685	6.28319	-4.60926	5.31275	8.29651

3.97508	0	-4.73218	5.80058	7.9316
3.97508	6.28319	-4.73218	5.80058	7.9316

4.1033	0	-4.77695	5.83916	7.93779
4.1033	6.28319	-4.77695	5.83916	7.93779

4.23153	0	-4.73211	5.36151	8.37061
4.23153	6.28319	-4.73211	5.36151	8.37061

4.35976	0	-4.59292	4.64041	8.95251
4.35976	6.28319	-4.59292	4.64041	8.95251

4.48799	0	-4.36098	3.82286	9.53812
4.48799	6.28319	-4.36098	3.82286	9.53812

4.61622	0	-4.04527	2.97167	10.0736
4.61622	6.28319	-4.04527	2.97167	10.0736

4.74445	0	-3.66603	2.13294	10.5331
4.74445	6.28319	-3.66603	2.13294	10.5331

4.87267	0	-3.26507	1.36377	10.9013
4.87267	6.28319	-3.26507	1.36377	10.9013

5.0009	0	-2.93018	0.761568	11.1686
5.0009	6.28319	-2.93018	0.761568	11.1686

5.12913	0	-2.81644	0.486873	11.3296
5.12913	6.28319	-2.81644	0.486873	11.3296

5.25736	0	-3.03392	0.651469	11.3825
5.25736	6.28319	-3.03392	0.651469	11.3825

5.38559	0	-3.48535	1.15576	11.3296
5.38559	6.28319	-3.48535	1.15576	11.3296

5.51382	0	-4.01512	1.83701	11.1781
5.51382	6.28319	-4.01512	1.83701	11.1781

5.64204	0	-4.531	2.58932	10.9417
5.64204	6.28319	-4.531	2.58932	10.9417

5.77027	0	-4.98637	3.34243	10.6439
5.77027	6.28319	-4.98637	3.34243	10.6439

5.8985	0	-5.35565	4.03103	10.3246
5.8985	6.28319	-5.35565	4.03103	10.3246

6.02673	0	-5.62337	4.5752	10.0482
6.02673	6.28319	-5.62337	4.5752	10.0482

6.15496	0	-5.77989	4.87609	9.90379
6.15496	6.28319	-5.77989	4.87609	9.90379

6.28319	0	-5.81952	4.85348	9.96605
6.28319	6.28319	-5.81952	4.85348	9.96605

