#1:k1	2:k2	3:kx	4:ky	5:erg1	6:erg2	7:...
0	0	0	-0	-3.16461	-2.80252	5.96713
0	0.0634665	0.0634665	-0.0366424	-3.16246	-2.79956	5.96202
0	0.126933	0.126933	-0.0732848	-3.15601	-2.79069	5.94671
0	0.1904	0.1904	-0.109927	-3.1453	-2.77595	5.92126
0	0.253866	0.253866	-0.14657	-3.13038	-2.75539	5.88577
0	0.317333	0.317333	-0.183212	-3.11131	-2.72908	5.84039
0	0.380799	0.380799	-0.219854	-3.08818	-2.69712	5.7853
0	0.444266	0.444266	-0.256497	-3.0611	-2.65962	5.72072
0	0.507732	0.507732	-0.293139	-3.03019	-2.61673	5.64693
0	0.571199	0.571199	-0.329782	-2.99559	-2.56862	5.56421
0	0.634665	0.634665	-0.366424	-2.95744	-2.51546	5.47291
0	0.698132	0.698132	-0.403067	-2.91591	-2.45748	5.37338
0	0.761598	0.761598	-0.439709	-2.87116	-2.39489	5.26605
0	0.825065	0.825065	-0.476351	-2.82339	-2.32796	5.15135
0	0.888531	0.888531	-0.512994	-2.77278	-2.25696	5.02973
0	0.951998	0.951998	-0.549636	-2.71954	-2.18217	4.90171
0	1.01546	1.01546	-0.586279	-2.66389	-2.10391	4.7678
0	1.07893	1.07893	-0.622921	-2.60604	-2.0225	4.62854
0	1.1424	1.1424	-0.659563	-2.54622	-1.93829	4.48451
0	1.20586	1.20586	-0.696206	-2.48468	-1.85162	4.3363
0	1.26933	1.26933	-0.732848	-2.42165	-1.76287	4.18452
0	1.3328	1.3328	-0.769491	-2.35738	-1.67241	4.02979
0	1.39626	1.39626	-0.806133	-2.29213	-1.58062	3.87275
0	1.45973	1.45973	-0.842775	-2.22614	-1.48791	3.71405
0	1.5232	1.5232	-0.879418	-2.15968	-1.39468	3.55435
0	1.58666	1.58666	-0.91606	-2.093	-1.30133	3.39432
0	1.65013	1.65013	-0.952703	-2.02636	-1.20827	3.23463
0	1.7136	1.7136	-0.989345	-1.96003	-1.11593	3.07596
0	1.77706	1.77706	-1.02599	-1.89426	-1.02473	2.91899
0	1.84053	1.84053	-1.06263	-1.8293	-0.935077	2.76438
0	1.904	1.904	-1.09927	-1.76542	-0.847406	2.61282
0	1.96746	1.96746	-1.13591	-1.70284	-0.762136	2.46498
0	2.03093	2.03093	-1.17256	-1.64183	-0.679691	2.32152
0	2.0944	2.0944	-1.2092	-1.5826	-0.600492	2.18309
0	2.15786	2.15786	-1.24584	-1.5254	-0.524957	2.05036
0	2.22133	2.22133	-1.28248	-1.47044	-0.453499	1.92394
0	2.28479	2.28479	-1.31913	-1.41794	-0.386518	1.80446
0	2.34826	2.34826	-1.35577	-1.36811	-0.324401	1.69251
0	2.41173	2.41173	-1.39241	-1.32115	-0.267503	1.58865
0	2.47519	2.47519	-1.42905	-1.27724	-0.216137	1.49338
0	2.53866	2.53866	-1.4657	-1.23658	-0.170552	1.40713
0	2.60213	2.60213	-1.50234	-1.19934	-0.1309	1.33024
0	2.66559	2.66559	-1.53898	-1.16569	-0.0972108	1.2629
0	2.72906	2.72906	-1.57562	-1.13581	-0.0693623	1.20517
0	2.79253	2.79253	-1.61227	-1.10984	-0.0470627	1.15691
0	2.85599	2.85599	-1.64891	-1.08794	-0.02986	1.1178
0	2.91946	2.91946	-1.68555	-1.07024	-0.0171806	1.08742
0	2.98293	2.98293	-1.72219	-1.05684	-0.00839947	1.06524
0	3.04639	3.04639	-1.75884	-1.04786	-0.00293075	1.05079
0	3.10986	3.10986	-1.79548	-1.04335	-0.000320288	1.04367
0	3.17333	3.17333	-1.83212	-1.04335	-0.000320288	1.04367
0	3.23679	3.23679	-1.86876	-1.04786	-0.00293075	1.05079
0	3.30026	3.30026	-1.90541	-1.05684	-0.00839947	1.06524
0	3.36373	3.36373	-1.94205	-1.07024	-0.0171806	1.08742
0	3.42719	3.42719	-1.97869	-1.08794	-0.02986	1.1178
0	3.49066	3.49066	-2.01533	-1.10984	-0.0470627	1.15691
0	3.55413	3.55413	-2.05198	-1.13581	-0.0693623	1.20517
0	3.61759	3.61759	-2.08862	-1.16569	-0.0972108	1.2629
0	3.68106	3.68106	-2.12526	-1.19934	-0.1309	1.33024
0	3.74452	3.74452	-2.1619	-1.23658	-0.170552	1.40713
0	3.80799	3.80799	-2.19854	-1.27724	-0.216137	1.49338
0	3.87146	3.87146	-2.23519	-1.32115	-0.267503	1.58865
0	3.93492	3.93492	-2.27183	-1.36811	-0.324401	1.69251
0	3.99839	3.99839	-2.30847	-1.41794	-0.386518	1.80446
0	4.06186	4.06186	-2.34511	-1.47044	-0.453499	1.92394
0	4.12532	4.12532	-2.38176	-1.5254	-0.524957	2.05036
0	4.18879	4.18879	-2.4184	-1.5826	-0.600492	2.18309
0	4.25226	4.25226	-2.45504	-1.64183	-0.679691	2.32152
0	4.31572	4.31572	-2.49168	-1.70284	-0.762136	2.46498
0	4.37919	4.37919	-2.52833	-1.76542	-0.847406	2.61282
0	4.44266	4.44266	-2.56497	-1.8293	-0.935077	2.76438
0	4.50612	4.50612	-2.60161	-1.89426	-1.02473	2.91899
0	4.56959	4.56959	-2.63825	-1.96003	-1.11593	3.07596
0	4.63306	4.63306	-2.6749	-2.02636	-1.20827	3.23463
0	4.69652	4.69652	-2.71154	-2.093	-1.30133	3.39432
0	4.75999	4.75999	-2.74818	-2.15968	-1.39468	3.55435
0	4.82346	4.82346	-2.78482	-2.22614	-1.48791	3.71405
0	4.88692	4.88692	-2.82147	-2.29213	-1.58062	3.87275
0	4.95039	4.95039	-2.85811	-2.35738	-1.67241	4.02979
0	5.01385	5.01385	-2.89475	-2.42165	-1.76287	4.18452
0	5.07732	5.07732	-2.93139	-2.48468	-1.85162	4.3363
0	5.14079	5.14079	-2.96804	-2.54622	-1.93829	4.48451
0	5.20425	5.20425	-3.00468	-2.60604	-2.0225	4.62854
0	5.26772	5.26772	-3.04132	-2.66389	-2.10391	4.7678
0	5.33119	5.33119	-3.07796	-2.71954	-2.18217	4.90171
0	5.39465	5.39465	-3.1146	-2.77278	-2.25696	5.02973
0	5.45812	5.45812	-3.15125	-2.82339	-2.32796	5.15135
0	5.52159	5.52159	-3.18789	-2.87116	-2.39489	5.26605
0	5.58505	5.58505	-3.22453	-2.91591	-2.45748	5.37338
0	5.64852	5.64852	-3.26117	-2.95744	-2.51546	5.47291
0	5.71199	5.71199	-3.29782	-2.99559	-2.56862	5.56421
0	5.77545	5.77545	-3.33446	-3.03019	-2.61673	5.64693
0	5.83892	5.83892	-3.3711	-3.0611	-2.65962	5.72072
0	5.90239	5.90239	-3.40774	-3.08818	-2.69712	5.7853
0	5.96585	5.96585	-3.44439	-3.11131	-2.72908	5.84039
0	6.02932	6.02932	-3.48103	-3.13038	-2.75539	5.88577
0	6.09279	6.09279	-3.51767	-3.1453	-2.77595	5.92126
0	6.15625	6.15625	-3.55431	-3.15601	-2.79069	5.94671
0	6.21972	6.21972	-3.59096	-3.16246	-2.79956	5.96202
0	6.28319	6.28319	-3.6276	-3.16461	-2.80252	5.96713

0.0634665	0	0	-0.0732848	-3.16246	-2.79956	5.96202
0.0634665	0.0634665	0.0634665	-0.109927	-3.15806	-2.79374	5.9518
0.0634665	0.126933	0.126933	-0.14657	-3.14928	-2.78212	5.9314
0.0634665	0.1904	0.1904	-0.183212	-3.13616	-2.76475	5.90091
0.0634665	0.253866	0.253866	-0.219854	-3.11878	-2.74167	5.86044
0.0634665	0.317333	0.317333	-0.256497	-3.0972	-2.71297	5.81017
0.0634665	0.380799	0.380799	-0.293139	-3.07155	-2.67874	5.75029
0.0634665	0.444266	0.444266	-0.329782	-3.04194	-2.63912	5.68106
0.0634665	0.507732	0.507732	-0.366424	-3.0085	-2.59424	5.60274
0.0634665	0.571199	0.571199	-0.403067	-2.97139	-2.54427	5.51566
0.0634665	0.634665	0.634665	-0.439709	-2.93077	-2.48941	5.42018
0.0634665	0.698132	0.698132	-0.476351	-2.88681	-2.42986	5.31668
0.0634665	0.761598	0.761598	-0.512994	-2.83971	-2.36586	5.20557
0.0634665	0.825065	0.825065	-0.549636	-2.78966	-2.29766	5.08733
0.0634665	0.888531	0.888531	-0.586279	-2.73687	-2.22555	4.96242
0.0634665	0.951998	0.951998	-0.622921	-2.68155	-2.14981	4.83136
0.0634665	1.01546	1.01546	-0.659563	-2.62393	-2.07075	4.69467
0.0634665	1.07893	1.07893	-0.696206	-2.56423	-1.9887	4.55293
0.0634665	1.1424	1.1424	-0.732848	-2.5027	-1.90401	4.40671
0.0634665	1.20586	1.20586	-0.769491	-2.43958	-1.81703	4.25661
0.0634665	1.26933	1.26933	-0.806133	-2.37512	-1.72812	4.10324
0.0634665	1.3328	1.3328	-0.842775	-2.30958	-1.63767	3.94725
0.0634665	1.39626	1.39626	-0.879418	-2.24321	-1.54605	3.78926
0.0634665	1.45973	1.45973	-0.91606	-2.17628	-1.45366	3.62995
0.0634665	1.5232	1.5232	-0.952703	-2.10905	-1.3609	3.46996
0.0634665	1.58666	1.58666	-0.989345	-2.04179	-1.26818	3.30997
0.0634665	1.65013	1.65013	-1.02599	-1.97476	-1.17589	3.15065
0.0634665	1.7136	1.7136	-1.06263	-1.90823	-1.08444	2.99267
0.0634665	1.77706	1.77706	-1.09927	-1.84245	-0.994255	2.8367
0.0634665	1.84053	1.84053	-1.13591	-1.77769	-0.905735	2.68343
0.0634665	1.904	1.904	-1.17256	-1.71421	-0.819291	2.5335
0.0634665	1.96746	1.96746	-1.2092	-1.65225	-0.735331	2.38758
0.0634665	2.03093	2.03093	-1.24584	-1.59206	-0.654259	2.24632
0.0634665	2.0944	2.0944	-1.28248	-1.53388	-0.576475	2.11035
0.0634665	2.15786	2.15786	-1.31913	-1.47794	-0.502375	1.98031
0.0634665	2.22133	2.22133	-1.35577	-1.42445	-0.432342	1.8568
0.0634665	2.28479	2.28479	-1.39241	-1.37364	-0.366749	1.74039
0.0634665	2.34826	2.34826	-1.42905	-1.32571	-0.305946	1.63165
0.0634665	2.41173	2.41173	-1.4657	-1.28084	-0.250254	1.53109
0.0634665	2.47519	2.47519	-1.50234	-1.23922	-0.199951	1.43917
0.0634665	2.53866	2.53866	-1.53898	-1.20101	-0.155249	1.35626
0.0634665	2.60213	2.60213	-1.57562	-1.16637	-0.116276	1.28265
0.0634665	2.66559	2.66559	-1.61227	-1.13545	-0.0830485	1.2185
0.0634665	2.72906	2.72906	-1.64891	-1.10837	-0.0554534	1.16383
0.0634665	2.79253	2.79253	-1.68555	-1.08525	-0.0332381	1.11849
0.0634665	2.85599	2.85599	-1.72219	-1.0662	-0.0160255	1.08222
0.0634665	2.91946	2.91946	-1.75884	-1.05128	-0.00335417	1.05464
0.0634665	2.98293	2.98293	-1.79548	-1.04058	0.00525665	1.03532
0.0634665	3.04639	3.04639	-1.83212	-1.03414	0.0102292	1.02391
0.0634665	3.10986	3.10986	-1.86876	-1.03199	0.0118524	1.02014
0.0634665	3.17333	3.17333	-1.90541	-1.03414	0.0102292	1.02391
0.0634665	3.23679	3.23679	-1.94205	-1.04058	0.00525665	1.03532
0.0634665	3.30026	3.30026	-1.97869	-1.05128	-0.00335417	1.05464
0.0634665	3.36373	3.36373	-2.01533	-1.0662	-0.0160255	1.08222
0.0634665	3.42719	3.42719	-2.05198	-1.08525	-0.0332381	1.11849
0.0634665	3.49066	3.49066	-2.08862	-1.10837	-0.0554534	1.16383
0.0634665	3.55413	3.55413	-2.12526	-1.13545	-0.0830485	1.2185
0.0634665	3.61759	3.61759	-2.1619	-1.16637	-0.116276	1.28265
0.0634665	3.68106	3.68106	-2.19854	-1.20101	-0.155249	1.35626
0.0634665	3.74452	3.74452	-2.23519	-1.23922	-0.199951	1.43917
0.0634665	3.80799	3.80799	-2.27183	-1.28084	-0.250254	1.53109
0.0634665	3.87146	3.87146	-2.30847	-1.32571	-0.305946	1.63165
0.0634665	3.93492	3.93492	-2.34511	-1.37364	-0.366749	1.74039
0.0634665	3.99839	3.99839	-2.38176	-1.42445	-0.432342	1.8568
0.0634665	4.06186	4.06186	-2.4184	-1.47794	-0.502375	1.98031
0.0634665	4.12532	4.12532	-2.45504	-1.53388	-0.576475	2.11035
0.0634665	4.18879	4.18879	-2.49168	-1.59206	-0.654259	2.24632
0.0634665	4.25226	4.25226	-2.52833	-1.65225	-0.735331	2.38758
0.0634665	4.31572	4.31572	-2.56497	-1.71421	-0.819291	2.5335
0.0634665	4.37919	4.37919	-2.60161	-1.77769	-0.905735	2.68343
0.0634665	4.44266	4.44266	-2.63825	-1.84245	-0.994255	2.8367
0.0634665	4.50612	4.50612	-2.6749	-1.90823	-1.08444	2.99267
0.0634665	4.56959	4.56959	-2.71154	-1.97476	-1.17589	3.15065
0.0634665	4.63306	4.63306	-2.74818	-2.04179	-1.26818	3.30997
0.0634665	4.69652	4.69652	-2.78482	-2.10905	-1.3609	3.46996
0.0634665	4.75999	4.75999	-2.82147	-2.17628	-1.45366	3.62995
0.0634665	4.82346	4.82346	-2.85811	-2.24321	-1.54605	3.78926
0.0634665	4.88692	4.88692	-2.89475	-2.30958	-1.63767	3.94725
0.0634665	4.95039	4.95039	-2.93139	-2.37512	-1.72812	4.10324
0.0634665	5.01385	5.01385	-2.96804	-2.43958	-1.81703	4.25661
0.0634665	5.07732	5.07732	-3.00468	-2.5027	-1.90401	4.40671
0.0634665	5.14079	5.14079	-3.04132	-2.56423	-1.9887	4.55293
0.0634665	5.20425	5.20425	-3.07796	-2.62393	-2.07075	4.69467
0.0634665	5.26772	5.26772	-3.1146	-2.68155	-2.14981	4.83136
0.0634665	5.33119	5.33119	-3.15125	-2.73687	-2.22555	4.96242
0.0634665	5.39465	5.39465	-3.18789	-2.78966	-2.29766	5.08733
0.0634665	5.45812	5.45812	-3.22453	-2.83971	-2.36586	5.20557
0.0634665	5.52159	5.52159	-3.26117	-2.88681	-2.42986	5.31668
0.0634665	5.58505	5.58505	-3.29782	-2.93077	-2.48941	5.42018
0.0634665	5.64852	5.64852	-3.33446	-2.97139	-2.54427	5.51566
0.0634665	5.71199	5.71199	-3.3711	-3.0085	-2.59424	5.60274
0.0634665	5.77545	5.77545	-3.40774	-3.04194	-2.63912	5.68106
0.0634665	5.83892	5.83892	-3.44439	-3.07155	-2.67874	5.75029
0.0634665	5.90239	5.90239	-3.48103	-3.0972	-2.71297	5.81017
0.0634665	5.96585	5.96585	-3.51767	-3.11878	-2.74167	5.86044
0.0634665	6.02932	6.02932	-3.55431	-3.13616	-2.76475	5.90091
0.0634665	6.09279	6.09279	-3.59096	-3.14928	-2.78212	5.9314
0.0634665	6.15625	6.15625	-3.6276	-3.15806	-2.79374	5.9518
0.0634665	6.21972	6.21972	-3.66424	-3.16246	-2.79956	5.96202
0.0634665	6.28319	6.28319	-3.70088	-3.16246	-2.79956	5.96202

0.126933	0	0	-0.14657	-3.15601	-2.79069	5.94671
0.126933	0.0634665	0.0634665	-0.183212	-3.14928	-2.78212	5.9314
0.126933	0.126933	0.126933	-0.219854	-3.1381	-2.76787	5.90596
0.126933	0.1904	0.1904	-0.256497	-3.12253	-2.74796	5.87049
0.126933	0.253866	0.253866	-0.293139	-3.10267	-2.72246	5.82513
0.126933	0.317333	0.317333	-0.329782	-3.07862	-2.69145	5.77007
0.126933	0.380799	0.380799	-0.366424	-3.05052	-2.65501	5.70553
0.126933	0.444266	0.444266	-0.403067	-3.0185	-2.61327	5.63177
0.126933	0.507732	0.507732	-0.439709	-2.98273	-2.56637	5.5491
0.126933	0.571199	0.571199	-0.476351	-2.94338	-2.51447	5.45784
0.126933	0.634665	0.634665	-0.512994	-2.90064	-2.45774	5.35838
0.126933	0.698132	0.698132	-0.549636	-2.85469	-2.39642	5.25111
0.126933	0.761598	0.761598	-0.586279	-2.80575	-2.33072	5.13647
0.126933	0.825065	0.825065	-0.622921	-2.75403	-2.2609	5.01493
0.126933	0.888531	0.888531	-0.659563	-2.69974	-2.18725	4.88699
0.126933	0.951998	0.951998	-0.696206	-2.6431	-2.11006	4.75316
0.126933	1.01546	1.01546	-0.732848	-2.58435	-2.02964	4.614
0.126933	1.07893	1.07893	-0.769491	-2.52373	-1.94634	4.47007
0.126933	1.1424	1.1424	-0.806133	-2.46148	-1.86048	4.32196
0.126933	1.20586	1.20586	-0.842775	-2.39784	-1.77245	4.17029
0.126933	1.26933	1.26933	-0.879418	-2.33307	-1.6826	4.01567
0.126933	1.3328	1.3328	-0.91606	-2.26742	-1.59133	3.85875
0.126933	1.39626	1.39626	-0.952703	-2.20115	-1.49901	3.70016
0.126933	1.45973	1.45973	-0.989345	-2.13452	-1.40606	3.54058
0.126933	1.5232	1.5232	-1.02599	-2.0678	-1.31285	3.38066
0.126933	1.58666	1.58666	-1.06263	-2.00125	-1.21981	3.22107
0.126933	1.65013	1.65013	-1.09927	-1.93514	-1.12734	3.06248
0.126933	1.7136	1.7136	-1.13591	-1.86972	-1.03585	2.90556
0.126933	1.77706	1.77706	-1.17256	-1.80525	-0.945733	2.75099
0.126933	1.84053	1.84053	-1.2092	-1.742	-0.857408	2.59941
0.126933	1.904	1.904	-1.24584	-1.68022	-0.771274	2.4515
0.126933	1.96746	1.96746	-1.28248	-1.62016	-0.687731	2.30789
0.126933	2.03093	2.03093	-1.31913	-1.56204	-0.607172	2.16922
0.126933	2.0944	2.0944	-1.35577	-1.50612	-0.529986	2.03611
0.126933	2.15786	2.15786	-1.39241	-1.45261	-0.456553	1.90916
0.126933	2.22133	2.22133	-1.42905	-1.40172	-0.38724	1.78896
0.126933	2.28479	2.28479	-1.4657	-1.35366	-0.3224	1.67606
0.126933	2.34826	2.34826	-1.50234	-1.30862	-0.262362	1.57098
0.126933	2.41173	2.41173	-1.53898	-1.26677	-0.207428	1.4742
0.126933	2.47519	2.47519	-1.57562	-1.22827	-0.157851	1.38612
0.126933	2.53866	2.53866	-1.61227	-1.19326	-0.113826	1.30709
0.126933	2.60213	2.60213	-1.64891	-1.16187	-0.0754673	1.23734
0.126933	2.66559	2.66559	-1.68555	-1.13421	-0.0427877	1.177
0.126933	2.72906	2.72906	-1.72219	-1.11036	-0.015684	1.12604
0.126933	2.79253	2.79253	-1.75884	-1.09039	0.0060652	1.08433
0.126933	2.85599	2.85599	-1.79548	-1.07436	0.0227811	1.05158
0.126933	2.91946	2.91946	-1.83212	-1.06231	0.0348432	1.02747
0.126933	2.98293	2.98293	-1.86876	-1.05426	0.0426271	1.01164
0.126933	3.04639	3.04639	-1.90541	-1.05024	0.0464348	1.0038
0.126933	3.10986	3.10986	-1.94205	-1.05024	0.0464348	1.0038
0.126933	3.17333	3.17333	-1.97869	-1.05426	0.0426271	1.01164
0.126933	3.23679	3.23679	-2.01533	-1.06231	0.0348432	1.02747
0.126933	3.30026	3.30026	-2.05198	-1.07436	0.0227811	1.05158
0.126933	3.36373	3.36373	-2.08862	-1.09039	0.0060652	1.08433
0.126933	3.42719	3.42719	-2.12526	-1.11036	-0.015684	1.12604
0.126933	3.49066	3.49066	-2.1619	-1.13421	-0.0427877	1.177
0.126933	3.55413	3.55413	-2.19854	-1.16187	-0.0754673	1.23734
0.126933	3.61759	3.61759	-2.23519	-1.19326	-0.113826	1.30709
0.126933	3.68106	3.68106	-2.27183	-1.22827	-0.157851	1.38612
0.126933	3.74452	3.74452	-2.30847	-1.26677	-0.207428	1.4742
0.126933	3.80799	3.80799	-2.34511	-1.30862	-0.262362	1.57098
0.126933	3.87146	3.87146	-2.38176	-1.35366	-0.3224	1.67606
0.126933	3.93492	3.93492	-2.4184	-1.40172	-0.38724	1.78896
0.126933	3.99839	3.99839	-2.45504	-1.45261	-0.456553	1.90916
0.126933	4.06186	4.06186	-2.49168	-1.50612	-0.529986	2.03611
0.126933	4.12532	4.12532	-2.52833	-1.56204	-0.607172	2.16922
0.126933	4.18879	4.18879	-2.56497	-1.62016	-0.687731	2.30789
0.126933	4.25226	4.25226	-2.60161	-1.68022	-0.771274	2.4515
0.126933	4.31572	4.31572	-2.63825	-1.742	-0.857408	2.59941
0.126933	4.37919	4.37919	-2.6749	-1.80525	-0.945733	2.75099
0.126933	4.44266	4.44266	-2.71154	-1.86972	-1.03585	2.90556
0.126933	4.50612	4.50612	-2.74818	-1.93514	-1.12734	3.06248
0.126933	4.56959	4.56959	-2.78482	-2.00125	-1.21981	3.22107
0.126933	4.63306	4.63306	-2.82147	-2.0678	-1.31285	3.38066
0.126933	4.69652	4.69652	-2.85811	-2.13452	-1.40606	3.54058
0.126933	4.75999	4.75999	-2.89475	-2.20115	-1.49901	3.70016
0.126933	4.82346	4.82346	-2.93139	-2.26742	-1.59133	3.85875
0.126933	4.88692	4.88692	-2.96804	-2.33307	-1.6826	4.01567
0.126933	4.95039	4.95039	-3.00468	-2.39784	-1.77245	4.17029
0.126933	5.01385	5.01385	-3.04132	-2.46148	-1.86048	4.32196
0.126933	5.07732	5.07732	-3.07796	-2.52373	-1.94634	4.47007
0.126933	5.14079	5.14079	-3.1146	-2.58435	-2.02964	4.614
0.126933	5.20425	5.20425	-3.15125	-2.6431	-2.11006	4.75316
