#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.24	0	0.132258	2	1.76162	4	
0.242	0	0.122794	2	1.75621	4	
0.244	0	0.11333	2	1.75081	4	
0.246	0	0.103865	2	1.74541	4	
0.248	0	0.0944015	2	1.74001	4	
0.25	0	0.0849374	2	1.73462	4	
0.252	0	0.0754724	4	1.72923	4	
0.254	0	0.0660083	4	1.72385	4	
0.256	0	0.0565442	4	1.71848	4	
0.258	0	0.0470801	4	1.71311	4	
0.26	0	0.037616	4	1.70774	4	
0.262	0	0.0281519	4	1.70238	4	
0.264	0	0.0186878	4	1.69702	4	
0.266	0	0.00922368	4	1.69167	4	
0.268	0	0.000240424	4	1.68632	4	
0.27	0	0.00970453	4	1.68098	4	
0.272	0	0.0191686	4	1.67564	4	
0.274	0	0.0286327	4	1.67031	4	
0.276	0	0.0380968	4	1.66498	4	
0.278	0	0.0475609	4	1.65966	4	
0.28	0	0.057025	4	1.65434	4	
0.282	0	0.0664891	4	1.64902	4	
0.284	0	0.0759542	2	1.64371	4	
0.286	0	0.0854182	2	1.63841	4	
0.288	0	0.0948822	2	1.63311	4	

0.24	0.01	0.129083	3	1.77566	4	
0.242	0.01	0.119619	3	1.77025	4	
0.244	0.01	0.110155	3	1.76485	4	
0.246	0.01	0.100691	3	1.75945	4	
0.248	0.01	0.0912266	3	1.75406	4	
0.25	0.01	0.0881024	3	1.74868	4	
0.252	0.01	0.0786384	3	1.74329	4	
0.254	0.01	0.0691745	3	1.73792	4	
0.256	0.01	0.0597105	3	1.73254	4	
0.258	0.01	0.0502465	3	1.72718	4	
0.26	0.01	0.0407825	3	1.72181	4	
0.262	0.01	0.0313185	3	1.71646	4	
0.264	0.01	0.0218546	4	1.7111	4	
0.266	0.01	0.0123906	4	1.70576	4	
0.268	0.01	0.00292663	4	1.70041	4	
0.27	0.01	0.00653734	4	1.69507	4	
0.272	0.01	0.0160013	3	1.68974	4	
0.274	0.01	0.0254653	3	1.68441	4	
0.276	0.01	0.0349292	3	1.67909	4	
0.278	0.01	0.0443932	3	1.67377	4	
0.28	0.01	0.0538572	3	1.66845	4	
0.282	0.01	0.0633211	3	1.66314	4	
0.284	0.01	0.0727851	3	1.65784	4	
0.286	0.01	0.082249	3	1.65254	4	
0.288	0.01	0.091713	3	1.64724	4	

0.24	0.02	0.125899	3	1.78968	4	
0.242	0.02	0.116435	3	1.78428	4	
0.244	0.02	0.106972	3	1.77888	4	
0.246	0.02	0.097508	3	1.77349	4	
0.248	0.02	0.0880443	3	1.76811	4	
0.25	0.02	0.0785807	3	1.76272	4	
0.252	0.02	0.0755492	3	1.75734	4	
0.254	0.02	0.0660868	3	1.75197	4	
0.256	0.02	0.0566244	4	1.7466	4	
0.258	0.02	0.0471621	3	1.74124	4	
0.26	0.02	0.0376997	3	1.73588	4	
0.262	0.02	0.0282374	3	1.73053	4	
0.264	0.02	0.0187752	3	1.72518	4	
0.266	0.02	0.00931291	4	1.71983	4	
0.268	0.02	0.000149305	4	1.71449	4	
0.27	0.02	0.00337547	4	1.70916	4	
0.272	0.02	0.012839	4	1.70383	4	
0.274	0.02	0.0223026	4	1.6985	4	
0.276	0.02	0.0317662	4	1.69318	4	
0.278	0.02	0.0412297	4	1.68787	4	
0.28	0.02	0.0506932	4	1.68256	4	
0.282	0.02	0.0601568	3	1.67725	4	
0.284	0.02	0.0696203	3	1.67195	4	
0.286	0.02	0.0790838	3	1.66665	4	
0.288	0.02	0.0885473	3	1.66136	4	

0.24	0.03	0.122706	3	1.8037	4	
0.242	0.03	0.113243	3	1.7983	4	
