#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.26	0.01	0.0344427	2	1.72461	4	
0.261	0.01	0.0297107	2	1.72193	4	
0.262	0.01	0.0249788	2	1.71925	4	
0.263	0.01	0.0202468	2	1.71657	4	
0.264	0.01	0.0155148	3	1.71389	4	
0.265	0.01	0.0107828	3	1.71121	4	
0.266	0.01	0.00605081	3	1.70853	4	
0.267	0.01	0.00131883	3	1.70585	4	
0.268	0.01	0.00341316	3	1.70318	4	
0.269	0.01	0.00814514	3	1.7005	4	
0.27	0.01	0.00653734	3	1.69783	4	
0.271	0.01	0.0112693	3	1.69516	4	
0.272	0.01	0.0160013	3	1.69249	4	
0.273	0.01	0.0207333	3	1.68982	4	
0.274	0.01	0.0254653	3	1.68715	4	
0.275	0.01	0.0301973	3	1.68448	4	
0.276	0.01	0.0349292	3	1.68182	4	
0.277	0.01	0.0396612	3	1.67915	4	
0.278	0.01	0.0443932	3	1.67649	4	
0.279	0.01	0.0491252	3	1.67382	4	
0.28	0.01	0.0538572	3	1.67116	4	

0.26	0.012	0.0338073	3	1.72748	4	
0.261	0.012	0.0290753	3	1.7248	4	
0.262	0.012	0.0243433	3	1.72212	4	
0.263	0.012	0.0196114	3	1.71944	4	
0.264	0.012	0.0148794	3	1.71676	4	
0.265	0.012	0.0101475	3	1.71408	4	
0.266	0.012	0.00541551	3	1.7114	4	
0.267	0.012	0.000683558	3	1.70872	4	
0.268	0.012	0.0040484	3	1.70605	4	
0.269	0.012	0.00878035	3	1.70337	4	
0.27	0.012	0.00590455	3	1.7007	4	
0.271	0.012	0.0106365	3	1.69803	4	
0.272	0.012	0.0153685	3	1.69536	4	
0.273	0.012	0.0201004	3	1.69269	4	
0.274	0.012	0.0248324	3	1.69002	4	
0.275	0.012	0.0295643	3	1.68735	4	
0.276	0.012	0.0342963	3	1.68469	4	
0.277	0.012	0.0390282	3	1.68202	4	
0.278	0.012	0.0437602	3	1.67936	4	
0.279	0.012	0.0484921	3	1.6767	4	
0.28	0.012	0.0532241	3	1.67403	4	

0.26	0.014	0.0331715	3	1.73033	4	
0.261	0.014	0.0284396	3	1.72765	4	
0.262	0.014	0.0237077	3	1.72497	4	
0.263	0.014	0.0189757	3	1.72229	4	
0.264	0.014	0.0142438	3	1.71961	4	
0.265	0.014	0.0095119	3	1.71693	4	
0.266	0.014	0.00477997	3	1.71425	4	
0.267	0.014	4.8052e-05	4	1.71157	4	
0.268	0.014	0.00468387	3	1.7089	4	
0.269	0.014	0.00941579	3	1.70623	4	
0.27	0.014	0.00527196	3	1.70355	4	
0.271	0.014	0.0100039	3	1.70088	4	
0.272	0.014	0.0147358	3	1.69821	4	
0.273	0.014	0.0194677	3	1.69554	4	
0.274	0.014	0.0241996	3	1.69287	4	
0.275	0.014	0.0289316	3	1.69021	4	
0.276	0.014	0.0336635	3	1.68754	4	
0.277	0.014	0.0383954	3	1.68488	4	
0.278	0.014	0.0431273	3	1.68221	4	
0.279	0.014	0.0478592	3	1.67955	4	
0.28	0.014	0.0525911	3	1.67689	4	

0.26	0.016	0.0325355	3	1.73318	4	
0.261	0.016	0.0278036	3	1.7305	4	
0.262	0.016	0.0230717	3	1.72782	4	
0.263	0.016	0.0183398	3	1.72513	4	
0.264	0.016	0.013608	3	1.72246	4	
0.265	0.016	0.00887607	3	1.71978	4	
0.266	0.016	0.00414419	3	1.7171	4	
0.267	0.016	0.000587693	3	1.71443	4	
0.268	0.016	0.000182108	4	1.71175	4	
0.269	0.016	0.00491355	3	1.70908	4	
0.27	0.016	0.00964498	3	1.70641	4	
0.271	0.016	0.00937147	3	1.70373	4	
0.272	0.016	0.0141033	3	1.70106	4	
0.273	0.016	0.0188352	3	1.6984	4	
0.274	0.016	0.0235671	3	1.69573	4	
0.275	0.016	0.028299	3	1.69306	4	
0.276	0.016	0.0330309	3	1.6904	4	
0.277	0.016	0.0377627	3	1.68773	4	
0.278	0.016	0.0424946	3	1.68507	4	
0.279	0.016	0.0472265	3	1.68241	4	
0.28	0.016	0.0519583	3	1.67975	4	

0.26	0.018	0.0318992	3	1.73603	4	
0.261	0.018	0.0271674	3	1.73334	4	
0.262	0.018	0.0224355	3	1.73066	4	
0.263	0.018	0.0177037	3	1.72798	4	
0.264	0.018	0.0129718	3	1.72531	4	
0.265	0.018	0.00824	3	1.72263	4	
0.266	0.018	0.00350816	3	1.71995	4	
0.267	0.018	0.00456467	3	1.71728	4	
0.268	0.018	0.000166618	4	1.7146	4	
0.269	0.018	0.0048979	3	1.71193	4	
0.27	0.018	0.00962917	3	1.70926	4	
0.271	0.018	0.00873926	3	1.70659	4	
0.272	0.018	0.0134711	3	1.70392	4	
0.273	0.018	0.0182029	3	1.70125	4	
0.274	0.018	0.0229348	3	1.69858	4	
0.275	0.018	0.0276666	3	1.69592	4	
0.276	0.018	0.0323984	3	1.69325	4	
0.277	0.018	0.0371302	3	1.69059	4	
0.278	0.018	0.0418621	3	1.68793	4	
0.279	0.018	0.0465939	3	1.68526	4	
0.28	0.018	0.0513257	3	1.6826	4	

0.26	0.02	0.0312626	3	1.73887	4	
0.261	0.02	0.0265308	3	1.73619	4	
0.262	0.02	0.021799	3	1.73351	4	
0.263	0.02	0.0170673	3	1.73083	4	
0.264	0.02	0.0123355	3	1.72815	4	
0.265	0.02	0.00760367	3	1.72548	4	
0.266	0.02	0.00931291	3	1.7228	4	
0.267	0.02	0.0045818	3	1.72013	4	
0.268	0.02	0.000149305	4	1.71745	4	
0.269	0.02	0.0048804	3	1.71478	4	
0.27	0.02	0.00337547	3	1.71211	4	
0.271	0.02	0.00810726	3	1.70895	4	
0.272	0.02	0.012839	3	1.70628	4	
0.273	0.02	0.0175708	3	1.70361	4	
0.274	0.02	0.0223026	3	1.70095	4	
0.275	0.02	0.0270344	3	1.69828	4	
0.276	0.02	0.0317662	3	1.69562	4	
0.277	0.02	0.0364979	3	1.69296	4	
0.278	0.02	0.0412297	3	1.6903	4	
0.279	0.02	0.0459615	3	1.68764	4	
0.28	0.02	0.0506932	3	1.68498	4	

0.26	0.022	0.0306258	3	1.74125	4	
0.261	0.022	0.025894	3	1.73857	4	
0.262	0.022	0.0211623	3	1.73589	4	
0.263	0.022	0.0164306	3	1.73321	4	
0.264	0.022	0.0116988	3	1.73054	4	
0.265	0.022	0.00696709	3	1.72786	4	
0.266	0.022	0.00933165	3	1.72519	4	
0.267	0.022	0.00460074	3	1.72251	4	
0.268	0.022	0.000130169	4	1.71984	4	
0.269	0.022	0.00486107	3	1.71717	4	
0.27	0.022	0.00274373	3	1.7145	4	
0.271	0.022	0.00747545	3	1.71184	4	
0.272	0.022	0.0122072	3	1.70917	4	
0.273	0.022	0.0169389	3	1.7065	4	
0.274	0.022	0.0216706	3	1.70384	4	
0.275	0.022	0.0264023	3	1.70118	4	
0.276	0.022	0.0311341	3	1.69851	4	
0.277	0.022	0.0358658	3	1.69585	4	
0.278	0.022	0.0405975	3	1.69319	4	
0.279	0.022	0.0453292	3	1.69054	4	
0.28	0.022	0.0500609	3	1.68788	4	

0.26	0.024	0.0299887	3	1.74413	4	
0.261	0.024	0.025257	3	1.74145	4	
0.262	0.024	0.0205253	3	1.73877	4	
0.263	0.024	0.0157936	3	1.7361	4	
0.264	0.024	0.0110619	3	1.73342	4	
0.265	0.024	0.00633026	3	1.73075	4	
0.266	0.024	0.00935218	3	1.72807	4	
0.267	0.024	0.00462148	3	1.7254	4	
0.268	0.024	0.00010921	4	1.72273	4	
0.269	0.024	0.00261948	3	1.72006	4	
0.27	0.024	0.00211219	3	1.71739	4	
0.271	0.024	0.00684385	3	1.71473	4	
0.272	0.024	0.0115755	3	1.71206	4	
0.273	0.024	0.0163072	3	1.70939	4	
0.274	0.024	0.0210388	3	1.70673	4	
0.275	0.024	0.0257705	3	1.70407	4	
0.276	0.024	0.0305022	3	1.70141	4	
0.277	0.024	0.0352338	3	1.69875	4	
0.278	0.024	0.0399655	3	1.69609	4	
0.279	0.024	0.0446971	3	1.69343	4	
0.28	0.024	0.0494287	3	1.69077	4	

0.26	0.026	0.0293512	3	1.74702	4	
0.261	0.026	0.0246196	3	1.74434	4	
0.262	0.026	0.019888	3	1.74166	4	
0.263	0.026	0.0151564	3	1.73898	4	
0.264	0.026	0.0104248	3	1.73631	4	
0.265	0.026	0.00569317	3	1.73364	4	
0.266	0.026	0.000961565	3	1.73096	4	
0.267	0.026	0.00377004	3	1.72829	4	
0.268	0.026	0.00798236	3	1.72562	4	
0.269	0.026	0.00325075	3	1.72295	4	
0.27	0.026	0.00148085	3	1.72028	4	
0.271	0.026	0.00621246	3	1.71762	4	
0.272	0.026	0.0109441	3	1.71495	4	
0.273	0.026	0.0156756	3	1.71228	4	
0.274	0.026	0.0204072	3	1.70962	4	
0.275	0.026	0.0251388	3	1.70696	4	
0.276	0.026	0.0298704	3	1.7043	4	
0.277	0.026	0.034602	3	1.70164	4	
0.278	0.026	0.0393336	3	1.69898	4	
0.279	0.026	0.0440652	3	1.69632	4	
0.28	0.026	0.0487967	3	1.69366	4	

0.26	0.028	0.0287136	3	1.7499	4	
0.261	0.028	0.023982	3	1.74722	4	
0.262	0.028	0.0192505	3	1.74455	4	
0.263	0.028	0.0145189	3	1.74187	4	
0.264	0.028	0.00978737	3	1.7392	4	
0.265	0.028	0.00505583	3	1.73652	4	
0.266	0.028	0.000324294	4	1.73385	4	
0.267	0.028	0.00440724	3	1.73118	4	
0.268	0.028	0.00861334	3	1.72851	4	
0.269	0.028	0.00388181	3	1.72584	4	
0.27	0.028	0.000849727	3	1.72317	4	
0.271	0.028	0.00558126	3	1.7205	4	
0.272	0.028	0.0103128	3	1.71784	4	
0.273	0.028	0.0150443	3	1.71518	4	
0.274	0.028	0.0197758	3	1.71251	4	
0.275	0.028	0.0245073	3	1.70985	4	
0.276	0.028	0.0292389	3	1.70719	4	
0.277	0.028	0.0339704	3	1.70453	4	
0.278	0.028	0.0387019	3	1.70187	4	
0.279	0.028	0.0434334	3	1.69921	4	
0.28	0.028	0.0481649	3	1.69656	4	

0.26	0.03	0.0280756	3	1.75279	4	
0.261	0.03	0.0233441	3	1.75011	4	
0.262	0.03	0.0186126	3	1.74743	4	
0.263	0.03	0.0138812	3	1.74476	4	
0.264	0.03	0.00914969	3	1.74208	4	
0.265	0.03	0.00441823	3	1.73941	4	
0.266	0.03	0.000313228	3	1.73674	4	
0.267	0.03	0.00469452	3	1.73407	4	
0.268	0.03	3.53972e-05	3	1.7314	4	
0.269	0.03	0.00451265	3	1.72873	4	
0.27	0.03	0.000218804	4	1.72606	4	
0.271	0.03	0.00495026	3	1.72339	4	
0.272	0.03	0.00968171	3	1.72073	4	
0.273	0.03	0.0144132	3	1.71806	4	
0.274	0.03	0.0191446	3	1.7154	4	
0.275	0.03	0.023876	3	1.71274	4	
0.276	0.03	0.0286075	3	1.71008	4	
0.277	0.03	0.0333389	3	1.70742	4	
0.278	0.03	0.0380703	3	1.70476	4	
0.279	0.03	0.0428017	3	1.70211	4	
0.28	0.03	0.0475332	3	1.69945	4	

0.26	0.032	0.0274373	3	1.75567	4	
0.261	0.032	0.0227059	3	1.75299	4	
0.262	0.032	0.0179745	3	1.75032	4	
0.263	0.032	0.0132431	3	1.74764	4	
0.264	0.032	0.00851176	3	1.74497	4	
0.265	0.032	0.00378037	3	1.74229	4	
0.266	0.032	0.000951001	3	1.73962	4	
0.267	0.032	0.00472248	3	1.73695	4	
0.268	0.032	7.14763e-06	3	1.73428	4	
0.269	0.032	0.00514329	3	1.73161	4	
0.27	0.032	0.000411915	3	1.72895	4	
0.271	0.032	0.00431946	3	1.72628	4	
0.272	0.032	0.00905082	3	1.72362	4	
0.273	0.032	0.0137822	3	1.72095	4	
0.274	0.032	0.0185135	3	1.71829	4	
0.275	0.032	0.0232449	3	1.71563	4	
0.276	0.032	0.0279762	3	1.71297	4	
0.277	0.032	0.0327076	3	1.71031	4	
0.278	0.032	0.0374389	3	1.70765	4	
0.279	0.032	0.0421703	3	1.705	4	
0.28	0.032	0.0469016	3	1.70234	4	

0.26	0.034	0.0267988	3	1.75855	4	
0.261	0.034	0.0220675	3	1.75588	4	
0.262	0.034	0.0173362	3	1.7532	4	
0.263	0.034	0.0126049	3	1.75052	4	
0.264	0.034	0.00787355	3	1.74785	4	
0.265	0.034	0.00314226	3	1.74518	4	
0.266	0.034	0.00158903	3	1.74251	4	
0.267	0.034	0.00475224	3	1.73984	4	
0.268	0.034	2.29272e-05	3	1.73717	4	
0.269	0.034	0.00470643	2	1.7345	4	
0.27	0.034	0.00104243	3	1.73184	4	
0.271	0.034	0.00368885	3	1.72917	4	
0.272	0.034	0.00842013	3	1.72651	4	
0.273	0.034	0.0131514	3	1.72384	4	
0.274	0.034	0.0178827	3	1.72118	4	
0.275	0.034	0.0226139	3	1.71852	4	
0.276	0.034	0.0273452	3	1.71586	4	
0.277	0.034	0.0320765	3	1.7132	4	
0.278	0.034	0.0368077	3	1.71055	4	
0.279	0.034	0.0415389	3	1.70789	4	
0.28	0.034	0.0462702	3	1.70523	4	

0.26	0.036	0.0261599	3	1.76144	4	
0.261	0.036	0.0214287	3	1.75876	4	
0.262	0.036	0.0166975	3	1.75608	4	
0.263	0.036	0.0119663	3	1.75341	4	
0.264	0.036	0.00723509	3	1.75074	4	
0.265	0.036	0.00250389	3	1.74806	4	
0.266	0.036	0.00222731	3	1.74539	4	
0.267	0.036	0.00478381	3	1.74272	4	
0.268	0.036	5.48238e-05	3	1.74006	4	
0.269	0.036	0.00467414	3	1.73739	4	
0.27	0.036	0.00167274	3	1.73472	4	
0.271	0.036	0.00305845	3	1.73206	4	
0.272	0.036	0.00778964	3	1.72939	4	
0.273	0.036	0.0125208	3	1.72673	4	
0.274	0.036	0.017252	3	1.72407	4	
0.275	0.036	0.0219832	3	1.72141	4	
0.276	0.036	0.0267143	3	1.71875	4	
0.277	0.036	0.0314455	3	1.71609	4	
0.278	0.036	0.0361766	3	1.71344	4	
0.279	0.036	0.0409078	3	1.71078	4	
0.28	0.036	0.0456389	3	1.70813	4	

0.26	0.038	0.0255208	3	1.76432	4	
0.261	0.038	0.0207897	3	1.76164	4	
0.262	0.038	0.0160586	3	1.75897	4	
0.263	0.038	0.0113275	3	1.75629	4	
0.264	0.038	0.00659636	3	1.75362	4	
0.265	0.038	0.00186525	3	1.75095	4	
0.266	0.038	0.00286584	3	1.74828	4	
0.267	0.038	0.00759693	3	1.74561	4	
0.268	0.038	8.85442e-05	3	1.74294	4	
0.269	0.038	0.00464006	3	1.74028	4	
0.27	0.038	0.00230286	3	1.73761	4	
0.271	0.038	0.00242824	3	1.73495	4	
0.272	0.038	0.00715933	3	1.73228	4	
0.273	0.038	0.0118904	3	1.72962	4	
0.274	0.038	0.0166215	3	1.72696	4	
0.275	0.038	0.0213526	3	1.7243	4	
0.276	0.038	0.0260836	3	1.72164	4	
0.277	0.038	0.0308147	3	1.71898	4	
0.278	0.038	0.0355457	3	1.71633	4	
0.279	0.038	0.0402768	3	1.71367	4	
0.28	0.038	0.0450078	3	1.71102	4	

