#1:kx	2:ky	3:max_coef	4:target_bands
0	0	0.110676	(0, 1, 2, 3, 4)
0	0.020944	0.110675	(0, 1, 2, 3, 4)
0	0.0418879	0.110672	(0, 1, 2, 3, 4)
0	0.0628319	0.110667	(0, 1, 2, 3, 4)
0	0.0837758	0.110661	(0, 1, 2, 3, 4)
0	0.10472	0.110652	(0, 1, 2, 3, 4)
0	0.125664	0.110642	(0, 1, 2, 3, 4)
0	0.146608	0.11063	(0, 1, 2, 3, 4)
0	0.167552	0.110616	(0, 1, 2, 3, 4)
0	0.188496	0.110601	(0, 1, 2, 3, 4)
0	0.20944	0.110583	(0, 1, 2, 3, 4)
0	0.230383	0.110565	(0, 1, 2, 3, 4)
0	0.251327	0.110544	(0, 1, 2, 3, 4)
0	0.272271	0.110522	(0, 1, 2, 3, 4)
0	0.293215	0.110499	(0, 1, 2, 3, 4)
0	0.314159	0.110474	(0, 1, 2, 3, 4)
0	0.335103	0.110448	(0, 1, 2, 3, 4)
0	0.356047	0.110421	(0, 1, 2, 3, 4)
0	0.376991	0.110392	(0, 1, 2, 3, 4)
0	0.397935	0.110363	(0, 1, 2, 3, 4)

0.020944	0	0.109658	(0, 1, 2, 3, 4)
0.020944	0.020944	0.109657	(0, 1, 2, 3, 4)
0.020944	0.0418879	0.109655	(0, 1, 2, 3, 4)
0.020944	0.0628319	0.109651	(0, 1, 2, 3, 4)
0.020944	0.0837758	0.109645	(0, 1, 2, 3, 4)
0.020944	0.10472	0.109638	(0, 1, 2, 3, 4)
0.020944	0.125664	0.109629	(0, 1, 2, 3, 4)
0.020944	0.146608	0.109618	(0, 1, 2, 3, 4)
0.020944	0.167552	0.109606	(0, 1, 2, 3, 4)
0.020944	0.188496	0.109593	(0, 1, 2, 3, 4)
0.020944	0.20944	0.109578	(0, 1, 2, 3, 4)
0.020944	0.230383	0.109562	(0, 1, 2, 3, 4)
0.020944	0.251327	0.109544	(0, 1, 2, 3, 4)
0.020944	0.272271	0.109525	(0, 1, 2, 3, 4)
0.020944	0.293215	0.109505	(0, 1, 2, 3, 4)
0.020944	0.314159	0.109483	(0, 1, 2, 3, 4)
0.020944	0.335103	0.109461	(0, 1, 2, 3, 4)
0.020944	0.356047	0.109437	(0, 1, 2, 3, 4)
0.020944	0.376991	0.109413	(0, 1, 2, 3, 4)
0.020944	0.397935	0.109387	(0, 1, 2, 3, 4)

0.0418879	0	0.106898	(0, 1, 2, 3, 4)
0.0418879	0.020944	0.106898	(0, 1, 2, 3, 4)
0.0418879	0.0418879	0.106896	(0, 1, 2, 3, 4)
0.0418879	0.0628319	0.106894	(0, 1, 2, 3, 4)
0.0418879	0.0837758	0.10689	(0, 1, 2, 3, 4)
0.0418879	0.10472	0.106885	(0, 1, 2, 3, 4)
0.0418879	0.125664	0.10688	(0, 1, 2, 3, 4)
0.0418879	0.146608	0.106873	(0, 1, 2, 3, 4)
0.0418879	0.167552	0.106866	(0, 1, 2, 3, 4)
0.0418879	0.188496	0.106858	(0, 1, 2, 3, 4)
0.0418879	0.20944	0.106848	(0, 1, 2, 3, 4)
0.0418879	0.230383	0.106838	(0, 1, 2, 3, 4)
0.0418879	0.251327	0.106827	(0, 1, 2, 3, 4)
0.0418879	0.272271	0.106816	(0, 1, 2, 3, 4)
0.0418879	0.293215	0.106803	(0, 1, 2, 3, 4)
0.0418879	0.314159	0.10679	(0, 1, 2, 3, 4)
0.0418879	0.335103	0.106776	(0, 1, 2, 3, 4)
0.0418879	0.356047	0.106762	(0, 1, 2, 3, 4)
0.0418879	0.376991	0.106747	(0, 1, 2, 3, 4)
0.0418879	0.397935	0.106731	(0, 1, 2, 3, 4)

0.0628319	0	0.103061	(0, 1, 2, 3, 4)
0.0628319	0.020944	0.103061	(0, 1, 2, 3, 4)
0.0628319	0.0418879	0.103061	(0, 1, 2, 3, 4)
0.0628319	0.0628319	0.10306	(0, 1, 2, 3, 4)
0.0628319	0.0837758	0.103059	(0, 1, 2, 3, 4)
0.0628319	0.10472	0.103058	(0, 1, 2, 3, 4)
