#1:k	2:erg1	3:erg2	4:erg3
0	-2.54558	7.00828e-16	2.54558

0.0125916	-2.5455	0.0125912	2.5455

0.0251831	-2.54526	0.0251804	2.54526

0.0377747	-2.54486	0.0377657	2.54486

0.0503662	-2.54429	0.0503449	2.54429

0.0629578	-2.54356	0.0629162	2.54356

0.0755493	-2.54267	0.0754775	2.54267

0.0881409	-2.54162	0.0880268	2.54162

0.100732	-2.54041	0.100562	2.54041

0.113324	-2.53903	0.113082	2.53903

0.125916	-2.5375	0.125583	2.5375

0.138507	-2.5358	0.138065	2.5358

0.151099	-2.53395	0.150524	2.53395

0.16369	-2.53193	0.16296	2.53193

0.176282	-2.52975	0.17537	2.52975

0.188873	-2.52742	0.187752	2.52742

0.201465	-2.52492	0.200105	2.52492

0.214056	-2.52227	0.212425	2.52227

0.226648	-2.51946	0.224712	2.51946

0.23924	-2.51649	0.236964	2.51649

0.251831	-2.51336	0.249178	2.51336

0.264423	-2.51007	0.261352	2.51007

0.277014	-2.50663	0.273485	2.50663

0.289606	-2.50304	0.285574	2.50304

0.302197	-2.49928	0.297619	2.49928

0.314789	-2.49537	0.309616	2.49537

0.32738	-2.49131	0.321564	2.49131

0.339972	-2.4871	0.333461	2.4871

0.352564	-2.48273	0.345305	2.48273

0.365155	-2.47821	0.357094	2.47821

0.377747	-2.47353	0.368827	2.47353

0.390338	-2.46871	0.380501	2.46871

0.40293	-2.46373	0.392115	2.46373

0.415521	-2.45861	0.403667	2.45861

0.428113	-2.45333	0.415155	2.45333

0.440704	-2.44791	0.426577	2.44791

0.453296	-2.44234	0.437931	2.44234

0.465887	-2.43663	0.449216	2.43663

0.478479	-2.43077	0.46043	2.43077

0.491071	-2.42476	0.47157	2.42476

0.503662	-2.41861	0.482636	2.41861

0.516254	-2.41232	0.493626	2.41232

0.528845	-2.40589	0.504537	2.40589

0.541437	-2.39931	0.515368	2.39931

0.554028	-2.3926	0.526117	2.3926

0.56662	-2.38574	0.536783	2.38574

0.579211	-2.37875	0.547364	2.37875

0.591803	-2.37162	0.557858	2.37162

0.604395	-2.36436	0.568264	2.36436

0.616986	-2.35696	0.57858	2.35696

0.629578	-2.34942	0.588803	2.34942

0.642169	-2.34176	0.598934	2.34176

0.654761	-2.33396	0.60897	2.33396

0.667352	-2.32603	0.618909	2.32603

0.679944	-2.31798	0.628749	2.31798

0.692535	-2.30979	0.638491	2.30979

0.705127	-2.30148	0.648131	2.30148

0.717719	-2.29305	0.657668	2.29305

0.73031	-2.28449	0.667101	2.28449

0.742902	-2.2758	0.676428	2.2758

0.755493	-2.267	0.685648	2.267

0.768085	-2.25807	0.694759	2.25807

0.780676	-2.24903	0.70376	2.24903

0.793268	-2.23987	0.71265	2.23987

0.805859	-2.23059	0.721426	2.23059

0.818451	-2.22119	0.730088	2.22119

0.831043	-2.21169	0.738635	2.21169

0.843634	-2.20207	0.747064	2.20207

0.856226	-2.19234	0.755375	2.19234

0.868817	-2.1825	0.763566	2.1825

0.881409	-2.17255	0.771636	2.17255

0.894	-2.1625	0.779583	2.1625

0.906592	-2.15234	0.787407	2.15234

0.919183	-2.14208	0.795107	2.14208

0.931775	-2.13172	0.80268	2.13172

0.944367	-2.12125	0.810126	2.12125

0.956958	-2.11069	0.817443	2.11069

0.96955	-2.10003	0.824631	2.10003

0.982141	-2.08928	0.831688	2.08928

0.994733	-2.07843	0.838613	2.07843

1.00732	-2.06748	0.845406	2.06748

1.01992	-2.05645	0.852064	2.05645

1.03251	-2.04533	0.858587	2.04533

1.0451	-2.03412	0.864974	2.03412

1.05769	-2.02282	0.871224	2.02282

1.07028	-2.01144	0.877336	2.01144

1.08287	-1.99998	0.883309	1.99998

1.09547	-1.98843	0.889141	1.98843

1.10806	-1.97681	0.894833	1.97681

1.12065	-1.9651	0.900383	1.9651

1.13324	-1.95332	0.90579	1.95332

1.14583	-1.94147	0.911053	1.94147

