#1:k	2:<phi_1|psi>_square	3:<phi_2|psi>_square	4:<phi_3|psi>_square
0	0.981339	0.0185736	8.78842e-05
0.0157473	0.981708	0.0182526	3.98601e-05
0.0314947	0.982048	0.017941	1.05819e-05
0.047242	0.982362	0.0176384	3.72076e-08
0.0629893	0.982647	0.0173444	8.21978e-06
0.0787367	0.982906	0.0170588	3.51293e-05
0.094484	0.983138	0.0167814	8.07714e-05
0.110231	0.983343	0.0165118	0.000145158
0.125979	0.983522	0.0162498	0.000228307
0.141726	0.983675	0.0159951	0.000330243
0.157473	0.983801	0.0157476	0.000450995
0.173221	0.983902	0.0155069	0.000590601
0.188968	0.983978	0.015273	0.000749104
0.204715	0.984028	0.0150454	0.000926551
0.220463	0.984053	0.0148241	0.001123
0.23621	0.984053	0.0146089	0.00133851
0.251957	0.984027	0.0143995	0.00157315
0.267705	0.983977	0.0141958	0.001827
0.283452	0.983902	0.0139976	0.00210014
0.299199	0.983803	0.0138047	0.00239265
0.314947	0.983678	0.013617	0.00270463
0.330694	0.983529	0.0134344	0.00303618
0.346441	0.983356	0.0132565	0.00338741
0.362189	0.983158	0.0130834	0.00375844
0.377936	0.982936	0.0129148	0.00414938
0.393683	0.982689	0.0127507	0.00456037
0.409431	0.982418	0.0125909	0.00499153
0.425178	0.982122	0.0124352	0.00544302
0.440925	0.981801	0.0122835	0.00591499
0.456673	0.981457	0.0121358	0.00640759
0.47242	0.981087	0.0119919	0.00692098
0.488167	0.980693	0.0118517	0.00745534
0.503915	0.980274	0.0117151	0.00801085
0.519662	0.97983	0.0115819	0.0085877
0.535409	0.979362	0.0114522	0.00918607
0.551157	0.978868	0.0113257	0.00980619
0.566904	0.978349	0.0112024	0.0104482
0.582651	0.977805	0.0110822	0.0111125
0.598399	0.977236	0.010965	0.0117991
0.614146	0.976641	0.0108507	0.0125083
0.629893	0.97602	0.0107392	0.0132404
0.645641	0.975374	0.0106305	0.0139957
0.661388	0.974701	0.0105244	0.0147743
0.677135	0.974002	0.010421	0.0155766
0.692883	0.973277	0.01032	0.0164028
0.70863	0.972525	0.0102215	0.0172533
0.724377	0.971746	0.0101254	0.0181283
0.740125	0.97094	0.0100316	0.0190281
0.755872	0.970107	0.00994002	0.019953
0.771619	0.969246	0.00985061	0.0209035
0.787367	0.968357	0.00976331	0.0218797
0.803114	0.96744	0.00967805	0.0228822
0.818861	0.966494	0.00959477	0.0239111
0.834609	0.96552	0.00951342	0.0249669
0.850356	0.964516	0.00943394	0.02605
0.866103	0.963483	0.00935626	0.0271608
0.881851	0.96242	0.00928034	0.0282996
0.897598	0.961327	0.00920612	0.0294669
0.913345	0.960203	0.00913354	0.0306632
0.929093	0.959049	0.00906255	0.0318887
0.94484	0.957863	0.0089931	0.0331441
0.960587	0.956645	0.00892515	0.0344297
0.976335	0.955395	0.00885863	0.035746
0.992082	0.954113	0.0087935	0.0370935
1.00783	0.952797	0.00872971	0.0384728
1.02358	0.951448	0.00866721	0.0398843
1.03932	0.950065	0.00860596	0.0413286
1.05507	0.948648	0.0085459	0.0428062
1.07082	0.947195	0.00848699	0.0443177
1.08657	0.945707	0.00842919	0.0458636
1.10231	0.944183	0.00837244	0.0474446
1.11806	0.942622	0.0083167	0.0490612
1.13381	0.941024	0.00826193	0.0507141
1.14956	0.939388	0.00820808	0.0524039
1.1653	0.937714	0.00815509	0.0541313
1.18105	0.936	0.00810293	0.0558969
1.1968	0.934247	0.00805155	0.0577015
1.21254	0.932453	0.00800091	0.0595457
1.22829	0.930619	0.00795095	0.0614303
1.24404	0.928742	0.00790162	0.0633561
1.25979	0.926823	0.00785289	0.0653237
1.27553	0.924861	0.0078047	0.067334
1.29128	0.922855	0.00775701	0.0693879
1.30703	0.920804	0.00770976	0.0714861
1.32278	0.918708	0.0076629	0.0736295
1.33852	0.916565	0.00761639	0.075819
1.35427	0.914374	0.00757017	0.0780555
1.37002	0.912136	0.00752419	0.08034
1.38577	0.909848	0.00747839	0.0826733
1.40151	0.907511	0.00743272	0.0850565
1.41726	0.905122	0.00738713	0.0874906
1.43301	0.902682	0.00734155	0.0899766
1.44875	0.900188	0.00729593	0.0925156
1.4645	0.897641	0.0072502	0.0951087
1.48025	0.895039	0.00720431	0.097757
1.496	0.89238	0.00715819	0.100462
1.51174	0.889664	0.00711177	0.103224
1.52749	0.88689	0.00706498	0.106045
1.54324	0.884056	0.00701777	0.108926
1.55899	0.881161	0.00697004	0.111869
1.57473	0.878204	0.00692173	0.114874
1.59048	0.875183	0.00687276	0.117944
1.60623	0.872098	0.00682306	0.121079
1.62198	0.868947	0.00677253	0.124281
1.63772	0.865727	0.00672109	0.127552
1.65347	0.862439	0.00666866	0.130892
1.66922	0.85908	0.00661514	0.134305
1.68496	0.855649	0.00656043	0.137791
1.70071	0.852144	0.00650444	0.141352
1.71646	0.848563	0.00644707	0.14499
1.73221	0.844905	0.00638821	0.148707
1.74795	0.841168	0.00632774	0.152504
1.7637	0.83735	0.00626556	0.156385
1.77945	0.833449	0.00620154	0.16035
1.7952	0.829463	0.00613556	0.164401
1.81094	0.82539	0.0060675	0.168542
1.82669	0.821228	0.00599722	0.172774
1.84244	0.816975	0.00592458	0.1771
1.85819	0.812628	0.00584944	0.181522
1.87393	0.808185	0.00577167	0.186043
1.88968	0.803644	0.00569109	0.190665
1.90543	0.799001	0.00560757	0.195392
1.92117	0.794254	0.00552093	0.200225
1.93692	0.7894	0.00543101	0.205169
1.95267	0.784436	0.00533764	0.210226
1.96842	0.77936	0.00524065	0.2154
1.98416	0.774167	0.00513986	0.220693
1.99991	0.768854	0.00503508	0.22611
2.01566	0.763419	0.00492614	0.231655
2.03141	0.757856	0.00481285	0.237332
2.04715	0.752161	0.00469502	0.243143
2.0629	0.746332	0.00457247	0.249096
2.07865	0.740363	0.00444503	0.255192
2.0944	0.734249	0.0043125	0.261439
2.11014	0.727985	0.00417474	0.26784
2.12589	0.721567	0.00403157	0.274402
2.14164	0.714987	0.00388287	0.28113
2.15738	0.708242	0.00372851	0.28803
2.17313	0.701323	0.0035684	0.295109
2.18888	0.694224	0.00340249	0.302373
2.20463	0.686938	0.00323075	0.309831
2.22037	0.679457	0.00305324	0.31749
2.23612	0.671771	0.00287006	0.325358
2.25187	0.663873	0.0026814	0.333445
2.26762	0.655753	0.00248756	0.34176
2.28336	0.647399	0.00228898	0.350312
2.29911	0.638799	0.00208624	0.359114
2.31486	0.629943	0.00188013	0.368177
2.33061	0.620815	0.00167166	0.377513
2.34635	0.611402	0.00146216	0.387136
2.3621	0.601687	0.00125331	0.39706
2.37785	0.591652	0.00104722	0.4073
2.39359	0.58128	0.000846557	0.417874
2.40934	0.570547	0.000654658	0.428798
2.42509	0.559433	0.000475667	0.440091
2.44084	0.547912	0.000314735	0.451773
2.45658	0.535957	0.000178251	0.463864
2.47233	0.523539	7.41186e-05	0.476387
2.48808	0.510624	1.21123e-05	0.489364
2.50383	0.497179	4.30457e-06	0.502817
2.51957	0.483164	6.55966e-05	0.51677
2.53532	0.468541	0.000214366	0.531245
2.55107	0.453264	0.000473256	0.546262
2.56682	0.43729	0.000870132	0.56184
2.58256	0.42057	0.00143922	0.577991
2.59831	0.403057	0.00222248	0.59472
2.61406	0.384706	0.00327113	0.612023
2.6298	0.365474	0.0046474	0.629879
