#1:t	2:m	3:min_gap
-1	-2	0.511997
-0.98	-2	0.510877
-0.96	-2	0.510353
-0.94	-2	0.504567
-0.92	-2	0.475263
-0.9	-2	0.446281
-0.88	-2	0.417718
-0.86	-2	0.389633
-0.84	-2	0.362121
-0.82	-2	0.3351
-0.8	-2	0.308776
-0.78	-2	0.283488
-0.76	-2	0.258863
-0.74	-2	0.235521
-0.72	-2	0.213485
-0.7	-2	0.192876
-0.68	-2	0.173972
-0.66	-2	0.157278
-0.64	-2	0.142642
-0.62	-2	0.130828
-0.6	-2	0.122104
-0.58	-2	0.117024
-0.56	-2	0.115617
-0.54	-2	0.118806
-0.52	-2	0.126762
-0.5	-2	0.139773
-0.48	-2	0.15805
-0.46	-2	0.181725
-0.44	-2	0.210767
-0.42	-2	0.245075
-0.4	-2	0.284213
-0.38	-2	0.327933
-0.36	-2	0.375809
-0.34	-2	0.427407
-0.32	-2	0.48235
-0.3	-2	0.540204
-0.28	-2	0.600656
-0.26	-2	0.66338
-0.24	-2	0.647643
-0.22	-2	0.569236
-0.2	-2	0.490609
-0.18	-2	0.411756
-0.16	-2	0.332674
-0.14	-2	0.253413
-0.12	-2	0.17402
-0.1	-2	0.0945404
-0.08	-2	0.0147207
-0.06	-2	0.0653071
-0.04	-2	0.145424
-0.02	-2	0.225531
8.88178e-16	-2	0.305807
0.02	-2	0.225531
0.04	-2	0.145424
0.06	-2	0.0653072
0.08	-2	0.0147202
0.1	-2	0.0945402
0.12	-2	0.17402
0.14	-2	0.253413
0.16	-2	0.332674
0.18	-2	0.411756
0.2	-2	0.490609
0.22	-2	0.569236
0.24	-2	0.647643
0.26	-2	0.66338
0.28	-2	0.600656
0.3	-2	0.540204
0.32	-2	0.48235
0.34	-2	0.427407
0.36	-2	0.375809
0.38	-2	0.327933
0.4	-2	0.284213
0.42	-2	0.245076
0.44	-2	0.210767
0.46	-2	0.181725
0.48	-2	0.158049
0.5	-2	0.139771
0.52	-2	0.126764
0.54	-2	0.118807
0.56	-2	0.115617
0.58	-2	0.117022
0.6	-2	0.122103
0.62	-2	0.130828
0.64	-2	0.142641
0.66	-2	0.157276
0.68	-2	0.173972
0.7	-2	0.192877
0.72	-2	0.213486
0.74	-2	0.235522
0.76	-2	0.258862
0.78	-2	0.283487
0.8	-2	0.308776
0.82	-2	0.335101
0.84	-2	0.362119
0.86	-2	0.389632
0.88	-2	0.417717
0.9	-2	0.44628
0.92	-2	0.475262
0.94	-2	0.504568
0.96	-2	0.510353
0.98	-2	0.510877

-1	-1.9	0.464647
-0.98	-1.9	0.463632
-0.96	-1.9	0.463265
-0.94	-1.9	0.449619
-0.92	-1.9	0.41958
-0.9	-1.9	0.389872
-0.88	-1.9	0.360524
-0.86	-1.9	0.331588
-0.84	-1.9	0.303161
-0.82	-1.9	0.275397
-0.8	-1.9	0.248282
-0.78	-1.9	0.221879
-0.76	-1.9	0.196512
-0.74	-1.9	0.172362
-0.72	-1.9	0.149425
-0.7	-1.9	0.127839
-0.68	-1.9	0.108014
-0.66	-1.9	0.0905918
-0.64	-1.9	0.0754464
-0.62	-1.9	0.0631655
-0.6	-1.9	0.0536378
-0.58	-1.9	0.0486232
-0.56	-1.9	0.0471972
-0.54	-1.9	0.0507885
-0.52	-1.9	0.0593505
-0.5	-1.9	0.0733687
-0.48	-1.9	0.093366
-0.46	-1.9	0.119139
-0.44	-1.9	0.15048
-0.42	-1.9	0.187333
-0.4	-1.9	0.229168
-0.38	-1.9	0.275757
-0.36	-1.9	0.326506
-0.34	-1.9	0.381005
-0.32	-1.9	0.438762
-0.3	-1.9	0.499414
-0.28	-1.9	0.5626
-0.26	-1.9	0.627912
-0.24	-1.9	0.69514
-0.22	-1.9	0.681715
-0.2	-1.9	0.602993
-0.18	-1.9	0.524092
-0.16	-1.9	0.445004
-0.14	-1.9	0.365713
-0.12	-1.9	0.286294
-0.1	-1.9	0.206793
-0.08	-1.9	0.127026
-0.06	-1.9	0.0471654
-0.04	-1.9	0.032996
-0.02	-1.9	0.112992
8.88178e-16	-1.9	0.193045
0.02	-1.9	0.112992
0.04	-1.9	0.0329964
0.06	-1.9	0.0471655
0.08	-1.9	0.127026
0.1	-1.9	0.206793
0.12	-1.9	0.286294
0.14	-1.9	0.365713
0.16	-1.9	0.445004
0.18	-1.9	0.524092
0.2	-1.9	0.602993
0.22	-1.9	0.681715
0.24	-1.9	0.69514
0.26	-1.9	0.627912
0.28	-1.9	0.5626
0.3	-1.9	0.499414
0.32	-1.9	0.438762
0.34	-1.9	0.381006
0.36	-1.9	0.326506
0.38	-1.9	0.275757
0.4	-1.9	0.229168
0.42	-1.9	0.187332
0.44	-1.9	0.150481
0.46	-1.9	0.11914
0.48	-1.9	0.0933648
0.5	-1.9	0.0733688
0.52	-1.9	0.0593528
0.54	-1.9	0.0507852
0.56	-1.9	0.0471942
0.58	-1.9	0.0486188
0.6	-1.9	0.053639
0.62	-1.9	0.0631694
0.64	-1.9	0.0754433
0.66	-1.9	0.0905943
0.68	-1.9	0.108013
0.7	-1.9	0.127841
0.72	-1.9	0.149428
0.74	-1.9	0.172364
0.76	-1.9	0.196513
0.78	-1.9	0.221878
0.8	-1.9	0.248283
0.82	-1.9	0.275396
0.84	-1.9	0.303161
0.86	-1.9	0.331589
0.88	-1.9	0.360524
0.9	-1.9	0.389873
0.92	-1.9	0.41958
0.94	-1.9	0.449619
0.96	-1.9	0.463265
0.98	-1.9	0.463632

-1	-1.8	0.419267
-0.98	-1.8	0.418353
-0.96	-1.8	0.418143
-0.94	-1.8	0.396683
-0.92	-1.8	0.365932
-0.9	-1.8	0.335361
-0.88	-1.8	0.30518
-0.86	-1.8	0.275458
-0.84	-1.8	0.246189
-0.82	-1.8	0.217323
-0.8	-1.8	0.189293
-0.78	-1.8	0.162033
-0.76	-1.8	0.135838
-0.74	-1.8	0.110452
-0.72	-1.8	0.0865209
-0.7	-1.8	0.0644571
-0.68	-1.8	0.0432827
-0.66	-1.8	0.0252244
-0.64	-1.8	0.00996522
-0.62	-1.8	0.00443581
-0.6	-1.8	0.0153742
-0.58	-1.8	0.020828
-0.56	-1.8	0.0214812
-0.54	-1.8	0.0172373
-0.52	-1.8	0.00826785
-0.5	-1.8	0.00986396
-0.48	-1.8	0.029417
-0.46	-1.8	0.057088
-0.44	-1.8	0.0909199
-0.42	-1.8	0.130447
-0.4	-1.8	0.175118
-0.38	-1.8	0.224653
-0.36	-1.8	0.278307
-0.34	-1.8	0.335653
-0.32	-1.8	0.396255
-0.3	-1.8	0.459634
-0.28	-1.8	0.525432
-0.26	-1.8	0.593293
-0.24	-1.8	0.662956
-0.22	-1.8	0.734165
-0.2	-1.8	0.717296
-0.18	-1.8	0.638331
-0.16	-1.8	0.5592
-0.14	-1.8	0.479948
-0.12	-1.8	0.400513
-0.1	-1.8	0.320951
-0.08	-1.8	0.241328
-0.06	-1.8	0.161496
-0.04	-1.8	0.0815894
-0.02	-1.8	0.00279645
8.88178e-16	-1.8	0.0784542
0.02	-1.8	0.00279941
0.04	-1.8	0.0815894
0.06	-1.8	0.161496
0.08	-1.8	0.241328
0.1	-1.8	0.320952
0.12	-1.8	0.400513
0.14	-1.8	0.479948
0.16	-1.8	0.5592
0.18	-1.8	0.638331
0.2	-1.8	0.717296
0.22	-1.8	0.734165
0.24	-1.8	0.662956
0.26	-1.8	0.593293
0.28	-1.8	0.525432
0.3	-1.8	0.459634
0.32	-1.8	0.396255
0.34	-1.8	0.335653
0.36	-1.8	0.278307
0.38	-1.8	0.224654
0.4	-1.8	0.175118
0.42	-1.8	0.130446
0.44	-1.8	0.090919
0.46	-1.8	0.0570889
0.48	-1.8	0.0294142
0.5	-1.8	0.00988216
0.52	-1.8	0.00827847
0.54	-1.8	0.0172346
0.56	-1.8	0.0214875
0.58	-1.8	0.0208183
0.6	-1.8	0.0153873
0.62	-1.8	0.00443979
0.64	-1.8	0.00998237
0.66	-1.8	0.0252315
0.68	-1.8	0.0432831
0.7	-1.8	0.0644621
0.72	-1.8	0.0865187
0.74	-1.8	0.11045
0.76	-1.8	0.135835
0.78	-1.8	0.162034
0.8	-1.8	0.189292
0.82	-1.8	0.217324
0.84	-1.8	0.246191
0.86	-1.8	0.275456
0.88	-1.8	0.305179
0.9	-1.8	0.33536
0.92	-1.8	0.36593
0.94	-1.8	0.396684
0.96	-1.8	0.418143
0.98	-1.8	0.418353

-1	-1.7	0.3759
-0.98	-1.7	0.375097
-0.96	-1.7	0.375069
-0.94	-1.7	0.345466
-0.92	-1.7	0.313883
-0.9	-1.7	0.282583
-0.88	-1.7	0.251581
-0.86	-1.7	0.220923
-0.84	-1.7	0.190715
-0.82	-1.7	0.161182
-0.8	-1.7	0.132159
-0.78	-1.7	0.10389
-0.76	-1.7	0.0764131
-0.74	-1.7	0.0501948
-0.72	-1.7	0.0251272
-0.7	-1.7	0.00410016
-0.68	-1.7	0.0203922
-0.66	-1.7	0.0400537
-0.64	-1.7	0.0567252
-0.62	-1.7	0.0707105
-0.6	-1.7	0.0809651
-0.58	-1.7	0.0872357
-0.56	-1.7	0.0884161
-0.54	-1.7	0.0842918
-0.52	-1.7	0.0740766
-0.5	-1.7	0.0574286
-0.48	-1.7	0.0342481
-0.46	-1.7	0.00526881
-0.44	-1.7	0.032148
-0.42	-1.7	0.0745609
-0.4	-1.7	0.122128
-0.38	-1.7	0.174443
-0.36	-1.7	0.231058
-0.34	-1.7	0.291294
-0.32	-1.7	0.354696
-0.3	-1.7	0.420767
-0.28	-1.7	0.489104
-0.26	-1.7	0.55946
-0.24	-1.7	0.631464
-0.22	-1.7	0.70493
-0.2	-1.7	0.742928
-0.18	-1.7	0.670056
-0.16	-1.7	0.594879
-0.14	-1.7	0.518104
-0.12	-1.7	0.440193
-0.1	-1.7	0.361509
-0.08	-1.7	0.282308
-0.06	-1.7	0.202731
-0.04	-1.7	0.122965
-0.02	-1.7	0.0429952
8.88178e-16	-1.7	0.0370083
0.02	-1.7	0.0429952
0.04	-1.7	0.122965
0.06	-1.7	0.202731
0.08	-1.7	0.282308
0.1	-1.7	0.361509
0.12	-1.7	0.440193
0.14	-1.7	0.518104
0.16	-1.7	0.594879
0.18	-1.7	0.670056
0.2	-1.7	0.742928
0.22	-1.7	0.70493
0.24	-1.7	0.631465
0.26	-1.7	0.55946
0.28	-1.7	0.489104
