#1:t	2:m	3:min_gap
0	0	1.26795
0.02	0	1.17331
0.04	0	1.07867
0.06	0	0.984026
0.08	0	0.889385
0.1	0	0.794744
0.12	0	0.700103
0.14	0	0.605462
0.16	0	0.510821
0.18	0	0.41618
0.2	0	0.321539
0.22	0	0.226898
0.24	0	0.132257
0.26	0	0.037616
0.28	0	0.057025
0.3	0	0.151666
0.32	0	0.246307
0.34	0	0.340948
0.36	0	0.435589
0.38	0	0.53023
0.4	0	0.624871
0.42	0	0.719512
0.44	0	0.814153
0.46	0	0.908794
0.48	0	1.00344
0.5	0	1.09808
0.52	0	1.04983
0.54	0	1.00198
0.56	0	0.95454
0.58	0	0.907489
0.6	0	0.860827
0.62	0	0.814547
0.64	0	0.768643
0.66	0	0.723109
0.68	0	0.67794
0.7	0	0.63313
0.72	0	0.588672
0.74	0	0.544561
0.76	0	0.500791
0.78	0	0.457356
0.8	0	0.414249
0.82	0	0.371466
0.84	0	0.329
0.86	0	0.286845
0.88	0	0.244996
0.9	0	0.203446
0.92	0	0.162191
0.94	0	0.121224
0.96	0	0.0805405
0.98	0	0.0401342
1	0	0
1.02	0	0.0398676
1.04	0	0.0794737
1.06	0	0.118824
1.08	0	0.157923
1.1	0	0.196776
1.12	0	0.235388
1.14	0	0.273764
1.16	0	0.311909
1.18	0	0.349828
1.2	0	0.387524
1.22	0	0.425004
1.24	0	0.462271
1.26	0	0.499329
1.28	0	0.536184
1.3	0	0.572839
1.32	0	0.609299
1.34	0	0.645567
1.36	0	0.681647
1.38	0	0.717545
1.4	0	0.753262
1.42	0	0.788804
1.44	0	0.824174
1.46	0	0.859375
1.48	0	0.894411
1.5	0	0.929286
1.52	0	0.964002
1.54	0	0.998564
1.56	0	1.03297
1.58	0	1.06724
1.6	0	1.10135
1.62	0	1.13533
1.64	0	1.16916
1.66	0	1.20286
1.68	0	1.23642
1.7	0	1.26986
1.72	0	1.30316
1.74	0	1.33634
1.76	0	1.3694
1.78	0	1.40234
1.8	0	1.43515
1.82	0	1.46786
1.84	0	1.50045
1.86	0	1.53293
1.88	0	1.5653
1.9	0	1.59756
1.92	0	1.62972
1.94	0	1.66178
1.96	0	1.69374
1.98	0	1.7256
2	0	1.75736
2.02	0	1.78903
2.04	0	1.8206
2.06	0	1.85209
2.08	0	1.88349
2.1	0	1.9148
2.12	0	1.94602
2.14	0	1.97716
2.16	0	1.99328
2.18	0	1.96792
2.2	0	1.94256
2.22	0	1.9172
2.24	0	1.89184
2.26	0	1.86649
2.28	0	1.84113
2.3	0	1.81577
2.32	0	1.79041
2.34	0	1.76505
